[01.wav] 難波津に 咲くやこの花
[03.wav] 難波潟 みじかき芦の ふしの間も
[05.wav] 有明の つれなく見えし 別れより
[07.wav] 月みれば ちぢにものこそ 悲しけれ
[09.wav] わが庵は 都のたつみ しかぞ住む
[11.wav] 音にきく たかしの浜の あだ波は
[13.wav] めぐりあひて 見しやそれとも わかぬ間に
[15.wav] みよしのの 山の秋風 小夜ふけて
[17.wav] わたの原 漕ぎ出でて見れば ひさかたの
[19.wav] 田子の浦に うち出でて見れば 白妙の
[21.wav] 契りきな かたみに袖を しぼりつつ
[23.wav] ゆらのとを わたる舟人 かぢをたえ
[25.wav] 今来むと いひしばかりに 長月の
[27.wav] 白露に 風の吹きしく 秋の野は
[29.wav] 思ひわび さても命は あるものを
[31.wav] 難波江の 芦のかりねの ひとよゆえ
[33.wav] ひさかたの 光のどけき 春の日に
[35.wav] 立ち別れ いなばの山の 峰に生ふる
[37.wav] みかのはら わきて流るる いづみ川
[39.wav] 花さそふ 嵐の庭の 雪ならで
[41.wav] 夏の夜は まだ宵ながら 明けぬるを
[43.wav] 心にも あらでうき世に ながらへば
[45.wav] ながらへば またこのごろや しのばれむ
[47.wav] いにしへの 奈良の都の 八重桜
[49.wav] かくとだに えやは伊吹の さしも草
[51.wav] 天の原 ふりさけ見れば かすがなる
[53.wav] 嘆きつつ ひとり寝る夜の あくる間は
[55.wav] みかきもり 衛士のたく火の 夜は燃え
[57.wav] 世の中は 常にもがもな 渚こぐ
[59.wav] しのぶれど 色に出でにけり わが恋は
[61.wav] 長からむ 心も知らず 黒髪の
[63.wav] 忘れじの 行く末までは かたければ
[65.wav] 人も惜し 人も恨めし あぢきなく
[67.wav] 嘆けとて 月やはものを 思はする
[69.wav] もろともに あはれと思へ 山桜
[71.wav] 有馬山 ゐなの笹原 風吹けば
[73.wav] 淡路島 かよふちどりの 鳴く声に
[75.wav] 秋風に たなびく雲の 絶え間より
[77.wav] あしびきの 山鳥の尾の しだり尾の
[79.wav] 天つ風 雲の通ひ路 吹きとぢよ
[81.wav] 村雨の 露もまだひぬ まきの葉に
[83.wav] 夜をこめて 鳥のそらねは はかるとも
[85.wav] わが袖は 潮干に見えぬ 沖の石の
[87.wav] このたびは 幣もとりあえず 手向け山
[89.wav] 逢ひ見ての のちの心に くらぶれば
[91.wav] きりぎりす 鳴くや霜夜の さむしろに
[93.wav] ほととぎす 鳴きつる方を ながむれば
[95.wav] 住の江の 岸による波 よるさへや
[97.wav] 来ぬ人を まつほの浦の 夕なぎに
[99.wav] ももしきや 古き軒端の しのぶにも
[101.wav] 風をいたみ 岩うつ波の おのれのみ
[103.wav] あはれとも いふべき人は おもほえで
[105.wav] ちはやぶる 神代もきかず 竜田川
[107.wav] 花の色は 移りにけりな いたづらに
[109.wav] 見せばやな 雄島のあまの 袖だにも
[111.wav] 今はただ 思ひ絶えなむ とばかりを
[113.wav] 君がため 惜しからざりし いのちさへ
[115.wav] 滝の音は 絶えて久しく なりぬれど
[117.wav] 秋の田の かりほの庵の 苫をあらみ
[119.wav] 君がため 春の野に出でて 若菜つむ
[121.wav] 春過ぎて 夏来にけらし 白妙の
[123.wav] さびしさに 宿を立ち出でて ながむれば
[125.wav] みちのくの しのぶもぢずり 誰ゆえに
[127.wav] 山里は 冬ぞさびしさ まさりける
[129.wav] 世の中よ 道こそなけれ おもひ入る
[131.wav] 人は いさ心も知らず ふるさとは
[133.wav] 恨みわび ほさぬ袖だに あるものを
[135.wav] 夕されば 門田の稲葉 おとづれて
[137.wav] 契りおきし させもが露を いのちにて
[139.wav] かくとだに えやは伊吹の さしも草
[141.wav] 誰をかも 知る人にせむ 高砂の
[143.wav] おほけなく うき世の民に おほふかな
[145.wav] 風そよぐ ならの小川の 夕暮れは
[147.wav] 奥山に もみぢ踏みわけ 鳴く鹿の
[149.wav] 朝ぼらけ 有明の月と みるまでに
[151.wav] やすらはで 寝なましものを 小夜ふけて
[153.wav] 名にしおはば 逢坂山の さねかづら
[155.wav] 小倉山 峰のもみぢ葉 心あらば
[157.wav] 山川に 風のかけたる しがらみは
[159.wav] 玉の緒よ 絶えなば絶えね ながらへば
[161.wav] これやこの 行くも帰るも 別れては
[163.wav] 心あてに 折らばや折らむ 初霜の
[165.wav] 恋すてふ わが名はまだき 立ちにけり
[167.wav] つくばねの 峰より落つる みなの川
[169.wav] 吹くからに 秋の草木の しをるれば
[171.wav] 大江山 いく野の道の 遠ければ
[173.wav] 八重むぐら しげれる宿の さびしきに
[175.wav] 高砂の 尾の上の桜 咲きにけり
[177.wav] 嵐吹く 三室の山の もみぢ葉は
[179.wav] 瀬をはやみ 岩にせかるる 滝川の
[181.wav] 朝ぼらけ 宇治の川霧 たえだえに
[183.wav] わたの原 八十島かけて 漕ぎ出でぬと
[185.wav] かささぎの 渡せる橋に おく霜の
[187.wav] 春の夜の 夢ばかりなる 手枕に
[189.wav] うかりける 人を初瀬の 山おろしよ
[191.wav] 忘らるる 身をば思はず ちかひてし
[193.wav] 明けぬれば くるるものとは 知りながら
[195.wav] わびぬれば 今はた同じ 難波なる
[197.wav] あさぢふの をのの篠原 しのぶれど
[199.wav] あらざらむ この世のほかの おもひでに
[201.wav] 夜もすがら 物思ふころは 明けやらで
